Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
CT_RA1_GFP-IP_rep1_R1	CT_RA1_GFP-IP_rep1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22128724.0	0.0	151.0	46.0	77.69047800061311	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail
CT_RA1_GFP-IP_rep1_R2	CT_RA1_GFP-IP_rep1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22128724.0	0.0	151.0	46.0	78.23126906117581	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail
CT_RA1_GFP-IP_rep2_R1	CT_RA1_GFP-IP_rep2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19016065.0	0.0	151.0	46.0	80.74416230584289	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail
CT_RA1_GFP-IP_rep2_R2	CT_RA1_GFP-IP_rep2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19016065.0	0.0	151.0	46.0	81.331020370161	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass	fail
CT_RA1_Input_rep1_R1	CT_RA1_Input_rep1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21298692.0	0.0	151.0	61.0	70.0022628766598	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	fail
CT_RA1_Input_rep1_R2	CT_RA1_Input_rep1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21298692.0	0.0	151.0	61.0	70.85824915313283	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	fail
CT_RA1_Input_rep2_R1	CT_RA1_Input_rep2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17606299.0	0.0	151.0	64.0	66.60964836906112	151.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass	fail
CT_RA1_Input_rep2_R2	CT_RA1_Input_rep2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17606299.0	0.0	151.0	63.0	67.04857459063392	151.0	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass	fail
CT_WUS1_Input_rep1_R1	CT_WUS1_Input_rep1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12323788.0	0.0	151.0	53.0	81.74788733982403	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass	fail
CT_WUS1_Input_rep1_R2	CT_WUS1_Input_rep1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12323788.0	0.0	151.0	53.0	82.19857865007197	151.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass	fail
CT_WUS1_Input_rep2_R1	CT_WUS1_Input_rep2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14562017.0	0.0	151.0	54.0	80.27648681042022	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	fail
CT_WUS1_Input_rep2_R2	CT_WUS1_Input_rep2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14562017.0	0.0	151.0	54.0	80.54575677305009	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	fail
CT_WUS1_RFP-IP_rep1_R1	CT_WUS1_RFP-IP_rep1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12513300.0	0.0	151.0	46.0	85.41314185014834	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass	fail
